nces_id,school_name,school_board,county,address,city_municipality,state_province,zip_postal,metropolitan_region,phone_number,fax,website,total_students,school_data,country,region
2.51E+11,Newton North High,Newton School District,Middlesex,457 Walnut Street,Newtonville,MA,2460,Boston,6175595200,6175595204,https://www.newton.k12.ma.us/nnhs,2073,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=newton&State=25&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=250861001374,USA,TEST
,Newton Central High,Newton School District,Middlesex,100 Walnut Street-Annex A,Newtonville,MA,2460,Boston,6175596016,,https://www.newton.k12.ma.us/central,,,USA,TEST
2.51E+11,Newton South High,Newton School District,Middlesex,140 Brandeis Rd,Newton Centre,MA,2459,Boston,6175596700,,https://www.newton.k12.ma.us/nshs,1869,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&DistrictID=2508610&SchoolPageNum=2&ID=250861001375,USA,TEST
